"UPC Approx."	"Day"	"V_inti_ratio"	"Bounds Approx."	"n° subinterval (Nsub * Msub)"	"n° NN"	"Type nn"	"n° hidden layers"	"n° neurons"	"n° variables"	"time"	"MIP gap"	"solution"	"ratio infeasible"	"Distance Q"	"Signed distance Q"	"reserve penalty"	"settlement penalty"	"v out of bounds penalty"	"v target penalty"	"simulator"	"design point"
	1	0.5	"piecewise"	"1 x 1"	2	"NN"	2	4	3030	60	0.89	2274.6	26	0.14	-0.131	14	90.92	0	-130.1	2303.3	"-6.77 -7.01 -7.32 -7.63 -7.95 -8.26 -8.19 3.92 3.85 3.78 5.19 4.93 3.5 3.43 3.36 3.29 3.22 4.11 4.58 4.55 3.77 3.74 2.64 2.57 1.46 0.0 0.0 0.0 0.0 0.0"
	1	0.5	"piecewise"	"1 x 1"	2	"NN"	2	5	3510	60	1.06	2270.2	27	0.14	-0.14	14	91.91	0	-139.21	2307.2	"-6.77 -7.01 -7.32 -7.64 -7.95 -8.26 -8.19 3.92 4.64 4.55 4.61 4.36 3.5 3.42 3.54 3.29 3.2 4.18 4.75 4.08 4.03 3.2 2.64 2.57 1.46 0.0 0.0 0.0 0.0 0.0"
	1	0.5	"piecewise"	"1 x 1"	2	"NN"	3	4	3990	60	0.98	2150.6	23	0.1	-0.085	22.5	87.53	0	-84.82	2128.9	"2.89 -6.54 -6.85 -7.16 -7.48 -7.79 -8.1 3.72 3.65 3.58 3.51 3.43 3.36 3.29 3.22 3.15 3.08 3.0 2.93 3.95 2.77 2.7 2.64 2.57 1.35 0.0 0.0 0.0 0.0 0.0"
	1	0.5	"piecewise"	"1 x 1"	2	"NN"	3	5	4710	60	1.06	2279.7	29	0.13	-0.125	14	87.03	0	-124.66	2306.7	"-6.77 -7.01 -7.24 -7.63 -7.94 -8.26 -8.57 4.42 5.12 4.25 4.95 4.05 3.48 3.66 3.67 3.55 3.42 3.3 4.46 4.38 4.29 2.7 2.64 2.59 1.46 0.0 0.0 0.0 0.0 0.0"
	1	0.5	"piecewise"	"1 x 1"	2	"sparseNN"	2	4	3030	60	0.57	2301.3	28	0.12	-0.08	14	93.69	0	-79.41	2276.7	"-6.77 -7.01 -7.32 -7.64 -7.95 -8.27 -8.2 4.6 5.2 4.94 4.7 4.45 4.21 3.98 3.29 3.22 3.15 3.43 4.17 4.46 3.43 2.7 2.63 2.57 1.46 0.0 0.0 0.0 0.0 0.0"
	1	0.5	"piecewise"	"1 x 1"	2	"sparseNN"	2	5	3510	60	0.7	2282.5	31	0.14	-0.131	14	94.7	0	-130.77	2308.3	"-6.77 -7.01 -7.24 -7.63 -7.95 -8.26 -8.18 3.92 3.85 3.78 5.19 3.61 3.54 3.47 3.4 3.33 3.25 4.07 4.85 4.61 3.63 3.62 3.61 2.97 1.46 0.0 0.0 0.0 0.0 0.0"
	1	0.5	"piecewise"	"1 x 1"	2	"sparseNN"	3	4	3990	60	0.57	2314.2	29	0.11	-0.063	14	100.62	0	-62.73	2266.2	"-6.77 -7.01 -7.32 -7.63 -7.95 -8.26 -8.58 5.2 4.98 4.76 4.55 4.34 4.13 3.93 3.73 3.54 3.36 3.36 4.67 3.96 3.32 2.7 2.64 2.57 1.46 0.0 0.0 0.0 0.0 -0.0"
	1	0.5	"piecewise"	"1 x 1"	2	"sparseNN"	3	5	4710	60	0.76	2321	32	0.13	-0.11	12.17	57.05	0	-109.19	2363.2	"-6.6 -6.83 -7.06 -7.44 -7.75 -8.06 -7.98 4.26 4.16 4.07 3.97 3.88 3.79 3.69 3.6 3.5 3.41 3.32 4.9 4.73 4.48 2.88 2.82 2.75 1.29 0.0 0.0 0.17 0.0 0.0"
	2	0.5	"piecewise"	"1 x 1"	2	"NN"	2	4	3030	60	0.2	12608.3	42	0.31	-0.241	36.5	525.85	0	-560.33	12611.3	"-5.77 -5.77 -5.95 -6.15 -6.34 4.75 4.65 4.54 4.44 4.34 -5.67 -5.93 -6.2 -6.47 -6.74 -7.01 7.38 7.05 6.7 6.36 6.02 5.69 5.37 5.08 0.26 0.0 0.0 1.2 0.0 0.0"
	2	0.5	"piecewise"	"1 x 1"	2	"NN"	2	5	3510	60	0.27	12392.3	44	0.31	-0.272	45.33	358.06	0	-634	12626.4	"3.69 -5.66 -5.94 -6.22 -6.29 5.04 4.07 3.97 3.88 3.79 -5.67 -5.95 -6.23 -6.51 -6.8 -7.08 4.44 6.22 6.34 6.01 5.69 5.38 5.09 4.81 0.53 0.0 0.0 0.83 0.0 0.0"
